[2024-12-30 21:06:21,173][root][INFO] - Epoch 0, EarlyStopper reset counter
[2024-12-30 21:06:26,609][root][INFO] - Epoch 1, EarlyStopper reset counter
[2024-12-30 21:06:31,877][root][INFO] - Epoch 2, EarlyStopper reset counter
[2024-12-30 21:06:37,655][root][INFO] - Epoch 3, EarlyStopper reset counter
[2024-12-30 21:06:43,641][root][INFO] - Epoch 4, EarlyStopper reset counter
[2024-12-30 21:06:49,449][root][INFO] - Epoch 5, EarlyStopper reset counter
[2024-12-30 21:06:54,981][root][INFO] - Epoch 6, EarlyStopper reset counter
[2024-12-30 21:07:00,573][root][INFO] - Epoch 7, EarlyStopper reset counter
[2024-12-30 21:07:06,185][root][INFO] - Epoch 8, EarlyStopper reset counter
[2024-12-30 21:07:12,451][root][INFO] - Epoch 9, EarlyStopper reset counter
[2024-12-30 21:07:18,074][root][INFO] - Epoch 10, EarlyStopper reset counter
[2024-12-30 21:07:23,972][root][INFO] - Epoch 11, EarlyStopper reset counter
[2024-12-30 21:07:29,601][root][INFO] - Epoch 12, EarlyStopper reset counter
[2024-12-30 21:07:35,296][root][INFO] - Epoch 13, EarlyStopper reset counter
[2024-12-30 21:07:40,940][root][INFO] - Epoch 14, EarlyStopper reset counter
[2024-12-30 21:07:47,044][root][INFO] - Epoch 15, EarlyStopper reset counter
[2024-12-30 21:07:53,075][root][INFO] - Epoch 16, EarlyStopper reset counter
[2024-12-30 21:07:59,027][root][INFO] - Epoch 17, EarlyStopper reset counter
[2024-12-30 21:08:04,606][root][INFO] - Epoch 18, EarlyStopper reset counter
[2024-12-30 21:08:10,441][root][INFO] - Epoch 19, EarlyStopper reset counter
[2024-12-30 21:08:16,700][root][INFO] - Epoch 20, EarlyStopper counter: 1/10
[2024-12-30 21:08:22,420][root][INFO] - Epoch 21, EarlyStopper reset counter
[2024-12-30 21:08:28,413][root][INFO] - Epoch 22, EarlyStopper counter: 1/10
[2024-12-30 21:08:34,543][root][INFO] - Epoch 23, EarlyStopper counter: 2/10
[2024-12-30 21:08:40,372][root][INFO] - Epoch 24, EarlyStopper reset counter
[2024-12-30 21:08:46,121][root][INFO] - Epoch 25, EarlyStopper reset counter
[2024-12-30 21:08:51,967][root][INFO] - Epoch 26, EarlyStopper reset counter
[2024-12-30 21:08:58,186][root][INFO] - Epoch 27, EarlyStopper reset counter
[2024-12-30 21:09:03,941][root][INFO] - Epoch 28, EarlyStopper reset counter
[2024-12-30 21:09:09,670][root][INFO] - Epoch 29, EarlyStopper counter: 1/10
[2024-12-30 21:09:15,422][root][INFO] - Epoch 30, EarlyStopper reset counter
[2024-12-30 21:09:21,174][root][INFO] - Epoch 31, EarlyStopper reset counter
[2024-12-30 21:09:27,678][root][INFO] - Epoch 32, EarlyStopper reset counter
[2024-12-30 21:09:34,149][root][INFO] - Epoch 33, EarlyStopper reset counter
[2024-12-30 21:09:41,189][root][INFO] - Epoch 34, EarlyStopper reset counter
[2024-12-30 21:09:46,941][root][INFO] - Epoch 35, EarlyStopper counter: 1/10
[2024-12-30 21:09:52,796][root][INFO] - Epoch 36, EarlyStopper counter: 2/10
[2024-12-30 21:09:58,466][root][INFO] - Epoch 37, EarlyStopper reset counter
[2024-12-30 21:10:04,413][root][INFO] - Epoch 38, EarlyStopper counter: 1/10
[2024-12-30 21:10:10,697][root][INFO] - Epoch 39, EarlyStopper reset counter
[2024-12-30 21:10:16,406][root][INFO] - Epoch 40, EarlyStopper counter: 1/10
[2024-12-30 21:10:22,277][root][INFO] - Epoch 41, EarlyStopper reset counter
[2024-12-30 21:10:28,579][root][INFO] - Epoch 42, EarlyStopper reset counter
