[2025-01-04 14:37:46,227][root][INFO] - Epoch 0, EarlyStopper reset counter
[2025-01-04 14:37:51,382][root][INFO] - Epoch 1, EarlyStopper reset counter
[2025-01-04 14:37:56,503][root][INFO] - Epoch 2, EarlyStopper reset counter
[2025-01-04 14:38:01,731][root][INFO] - Epoch 3, EarlyStopper reset counter
[2025-01-04 14:38:07,021][root][INFO] - Epoch 4, EarlyStopper reset counter
[2025-01-04 14:38:12,416][root][INFO] - Epoch 5, EarlyStopper reset counter
[2025-01-04 14:38:17,802][root][INFO] - Epoch 6, EarlyStopper counter: 1/10
[2025-01-04 14:38:23,365][root][INFO] - Epoch 7, EarlyStopper reset counter
[2025-01-04 14:38:29,342][root][INFO] - Epoch 8, EarlyStopper reset counter
[2025-01-04 14:38:35,157][root][INFO] - Epoch 9, EarlyStopper reset counter
[2025-01-04 14:38:40,933][root][INFO] - Epoch 10, EarlyStopper reset counter
[2025-01-04 14:38:47,105][root][INFO] - Epoch 11, EarlyStopper reset counter
[2025-01-04 14:38:52,950][root][INFO] - Epoch 12, EarlyStopper reset counter
[2025-01-04 14:38:58,677][root][INFO] - Epoch 13, EarlyStopper reset counter
[2025-01-04 14:39:04,501][root][INFO] - Epoch 14, EarlyStopper reset counter
[2025-01-04 14:39:10,396][root][INFO] - Epoch 15, EarlyStopper reset counter
[2025-01-04 14:39:16,303][root][INFO] - Epoch 16, EarlyStopper reset counter
[2025-01-04 14:39:22,190][root][INFO] - Epoch 17, EarlyStopper reset counter
[2025-01-04 14:39:28,174][root][INFO] - Epoch 18, EarlyStopper reset counter
[2025-01-04 14:39:34,062][root][INFO] - Epoch 19, EarlyStopper counter: 1/10
