[2024-12-30 20:57:46,394][root][INFO] - Epoch 0, EarlyStopper reset counter
[2024-12-30 20:57:51,589][root][INFO] - Epoch 1, EarlyStopper reset counter
[2024-12-30 20:57:57,001][root][INFO] - Epoch 2, EarlyStopper reset counter
[2024-12-30 20:58:02,450][root][INFO] - Epoch 3, EarlyStopper reset counter
[2024-12-30 20:58:07,953][root][INFO] - Epoch 4, EarlyStopper reset counter
[2024-12-30 20:58:13,474][root][INFO] - Epoch 5, EarlyStopper reset counter
[2024-12-30 20:58:18,999][root][INFO] - Epoch 6, EarlyStopper reset counter
[2024-12-30 20:58:24,492][root][INFO] - Epoch 7, EarlyStopper reset counter
[2024-12-30 20:58:30,069][root][INFO] - Epoch 8, EarlyStopper reset counter
[2024-12-30 20:58:35,642][root][INFO] - Epoch 9, EarlyStopper reset counter
[2024-12-30 20:58:41,364][root][INFO] - Epoch 10, EarlyStopper reset counter
[2024-12-30 20:58:47,116][root][INFO] - Epoch 11, EarlyStopper reset counter
[2024-12-30 20:58:52,801][root][INFO] - Epoch 12, EarlyStopper reset counter
[2024-12-30 20:58:58,979][root][INFO] - Epoch 13, EarlyStopper reset counter
[2024-12-30 20:59:06,378][root][INFO] - Epoch 14, EarlyStopper reset counter
[2024-12-30 20:59:12,526][root][INFO] - Epoch 15, EarlyStopper reset counter
[2024-12-30 20:59:19,046][root][INFO] - Epoch 16, EarlyStopper reset counter
[2024-12-30 20:59:25,238][root][INFO] - Epoch 17, EarlyStopper reset counter
[2024-12-30 20:59:31,738][root][INFO] - Epoch 18, EarlyStopper reset counter
[2024-12-30 20:59:38,134][root][INFO] - Epoch 19, EarlyStopper reset counter
